Site,SampleTime,SampleDate,pH,LocationType,Na_mgL,Mg_mgL,Al_mgL,SiO2_mgL,K_mgL,Ca_mgL,Mn_mgL,Fe_mgL,F_mgL,Cl_mgL,NO3_mgL,SO4_mgL,DOC_mgL,TDN_mgL,GWType,X,Y,Na_MP,Mg_MP,Al_MP,Si_MP,P_MP,K_MP,Ca_MP,Mn_MP,Fe_MP,Zn_MP,Rb_MP,Sr_MP,Ba_MP,Pb_MP,NH4 mg N/L,Alm_mgL,Alo_mgL,Durham_id,Method,SpecCond,DON_mgL,TMAl_mgL,OMAl_mgL,IMAl_mgL,NH4_NmgL,PO4_PmgL,S_mgL,Sr_mgL,Zn_mgL
D1P2,1899-12-31T11:15:00Z,2014-07-16T00:00:00Z,5.16,S5,0.87523,0.168923,0.243035,2.63307,0.11009152926136531,0.5348240180165551,0.008,0.021,0.05242408574628194,0.583754607220268,0.13978269971041113,2.8172753716988286,3.2608490054671675,0.18166071200758052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006036973146837419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P2,1899-12-31T13:00:00Z,2013-03-11T00:00:00Z,4.94,S5,0.788677,0.15647,0.196415,2.60528,0.0520019,0.461042,0.008,0.021,0.1147636922774197,0.4641911788099287,0.6045005873083417,3.080211412797053,2.241175548942783,0.2078430494023142,NA,NA,NA,0.793884744562936,0.157043821779712,0.20143272455108,2.40076364307836,NA,0.0551555102453524,0.405899995258367,0.00392723891986279,0.0282007118602791,NA,3.1176719561105e-4,0.00464508944253271,0.00518793959190812,NA,0.0025,0.13663236367176604,0.040072488427419006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P2,1899-12-31T13:50:00Z,2013-11-07T00:00:00Z,4.98,S5,1.0580527715651848,0.18461637884863125,0.2640542062994924,3.5465180717999645,0.061182674824768704,0.592994151185052,0.008,0.021,0.07266607777202322,0.4923353681978398,1.0423117100275523,2.8145598093576494,3.23880574104344,0.3393601680207701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P2,1899-12-31T14:30:00Z,2013-03-13T00:00:00Z,4.99,S5,0.812128,0.159936,0.264217,2.51961,0.0548304,0.497585,0.008,0.021,0.053785535121389366,0.5711349821432928,1.5430508544085602,2.800531856582574,2.0449875120935515,0.4362558943537759,NA,NA,NA,0.771734301407577,0.150503178256775,0.268447350691394,2.07430701028787,NA,0.0558590279902072,0.418841229569437,0.0036364024181265303,0.0187239816764384,NA,3.07191245886867e-4,0.0047160791493321705,0.00487828688129036,NA,0.0025,0.18426353315764712,0.04270159636242129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P2,NA,2013-03-27T00:00:00Z,4.93,S5,0.788279,0.182909,0.262534,2.72644,0.06954591086540421,0.521482,0.008,0.021,0.08299325111844694,0.49134559611510026,1.5075019173915882,2.9728638460340377,2.2361248879725486,0.4546148817218436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,0.18671948040974182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P2,NA,2013-04-01T00:00:00Z,4.96,S5,0.727821,0.160711,0.218365,2.53949,0.0541467,0.476817,0.008,0.021,0.06654374800219603,0.42759545066233856,1.2060002790242927,2.715612017611912,2.1238770258569595,0.3723083246761068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,0.19017546460035317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P2,NA,2013-09-03T00:00:00Z,4.9,S5,1.34123,0.208273,0.220919,3.23628,0.1437464963886562,0.748456,0.008,0.021,0.07858959257705467,0.7945022862576399,1.9075293934629083,2.8563616582542606,3.1769998958604333,0.5572321250142903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007684441701709429,0.14589937983097795,0.05559622772628337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P2,NA,2014-06-04T00:00:00Z,5.1,S5,0.860492,0.176578,0.182496,2.47806,0.173176,0.575035,0.008,0.021,0.0784935545858987,0.47521387787125174,1.0212047312258452,2.358448227319929,2.640752447734885,0.3714923146218668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010289324801884023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P2,NA,2014-06-05T00:00:00Z,5.12,S5,NA,NA,NA,NA,NA,NA,NA,NA,0.07635944251326149,0.5418673307328088,0.9230089744827337,2.6210711442292896,2.4974620825797538,0.31629204121811577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D1P2,NA,2014-06-13T00:00:00Z,5.05,S5,0.869279,0.165468,0.242998,2.43525,0.147197,0.561968,0.008,0.021,0.06328992095652242,0.5401772431753203,0.5619898023980109,2.6690532847817323,2.6938860918938015,0.22860819789594122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
